wallet,sRGKAmount,RGKAmount,warmupValue,MIMBONDvalue,MIMRGKBONDvalue,USDCvalue,OLDMIMBONDvalue,OLDMIMRGKBONDvalue,PrivatePresaleValue,PublicPresaleValue,total
0xba47Bc83E320e77A7C0Ce8e82E6030Ce6f5B6832,0,101.76773566,0,7.5,0,0.476190476,28.240615536,3.201251713,0,0,141.185793385
0x62f5fc5859CdAB4e1a39c0A55028809dEb1F10d6,1.120704714,0.000017362,1318.848725294,0,0,9.577624663,0,0,0,0,1329.5470720330002
0x9f197ca96abC2A22e1b01b9F37e08a01Ec72bE4C,0,0.000023428,722.0333275,0,0,0,0,0,0,0,722.033350928
0xb74ac32728dCbae589f03e3537CAd217c4706b2b,1267.679372752,225.377541235,0,0,0,0,0,0,0,0,1493.0569139870001
0x671dB46C6240E9273b825b44Bf504145dCcB520A,0,0.00003077,69.830037514,0,0,0,0,0,0,0,69.83006828399999
0x568E142874919c89F35601fA02cc8d32A3EbfF63,0,0,3.457890407,0,0,0,0,0,0,0,3.457890407
0x595cdA9aCA7D783c73521116E1B51efb7918168b,0,0,0,0,0,0,0,0,0,0,0
0xeCb6C5125101C8cb6514685b1cb54c24be25f0A2,0,45.145357115,0,25.275682456,0,0,0,0,0,0,70.421039571
0x405B2d7A975B1A60928C641dD124327728F562f6,417.608192175,6.746112895,0,0,0,0,0,0,0,0,424.35430507
0xc18FC41c3c3eBCE20f8073c9f98E9CdC331113cc,0,15.137862689,0,0.208713436,0,0,0,0,0,0,15.346576125
0xba1a6F2956AbfC38E1889a40e2789BC8b9956A05,0,0,0,0,0,0,0,0,0,0,0
0x1dF05767e71f5Ae735CBbb74fE4Ed75825937872,0,0,0,0,0,0,0,0,0,0,0
0x4a747460AdE361707c5def3F93f7332ff410b630,0,0.989262327,454.355883873,0,0,0,0,0,0,0,455.3451462
0xC01E49CC9b2b496d52e5bd2bBC3267eF94b52043,454.098607181,147.149896724,0,48.23,0,0,0,0,0,0,649.478503905
0x3FE231336976a918ac9A30136C6A728EFA0046a7,155.862289239,0.000046179,0,0,0,0,0,0,0,0,155.86233541800001
0x3fc6121cb50b00A5Fb8BD2a3c755f804D0E694D2,0,0,0,0,0,0,0,0,0,0,0
0x109e64BAd4A7D69D1D9e934554674d056E6b8b11,1.948294507,0,0,0,0,0,0,0,0,0,1.948294507
0x1040aF0E82b4B8BeBe1dEE16F756ed0aF128BD42,21.365406573,0,0,0,0,0,0,0,0,0,21.365406573
0xE427B6d3f80A97a70396Fa5d8f820E4bBBC42983,157.707181508,0,0,29.337685492,0,0,0,0,0,0,187.04486699999998
0xc48e6eA50bDe9C47EA2A95B793f7279b0f60c155,1e-9,0,0,0,0,0,0,0,0,0,1e-9
0xeBf4e9eF2767845b94fda8C43b6CA22f6272819e,0,0,0,0,0,0,0,0,0,0,0
0xB8DAEb5780054d022F497120E755d904A047bA8C,310.700187832,0,0,4.2780809,0,0,0,0,0,0,314.978268732
0x77BDe821204a276F0EaB1C683cB3F171A96112f6,284.590749509,0.000051977,390.272737358,2.621622863,0,0,0,0,1.8266632650920656e-10,0,677.4851617071826
0x9cc69F612202fE2c3a4c470e2aB2CD35Deb580bE,36.858242558,1.112727818,0,0,0,0,0,0,0,0,37.970970376000004
0x5CC63021a2e3DD6f33Aae0D71870e7DECc695F79,724.266453958,0.000062533,0,0,0,0,0,0,0,0,724.2665164910001
0x9a9A5e62d1FDC59361662b1350b4C39DFb977841,0,0,0,28.256875413,0,0,0,0,0,0,28.256875413
0xB1782E389d2a6DB3Ba29398dAb1e82ba872919Ba,471.409738193,0,0,0,0,0,0,0,0,2.1398705030151177e-10,471.409738193214
0xeb3A844C59bcd99C73072D9974BD6f2D8028b6A0,0,0,0,0,0,0,0,0,0,0,0
0x5009e1816252404A46ab349157E70378E70De499,139.234081716,0.000062593,0,0,0,0,0,0,0,0,139.234144309
0x624500C41109d74aF6E379D7a708C5bE896B32A5,203.396799315,0.000079192,27.136326068,1.833069555,0,0,0,0,0,0,232.36627413
0x91FC88b9E1c1A42B5f4cdc87d5cd067A77C1fefB,0,0,0,6.568207159,0,7.036676091,0,0,0,0,13.60488325
0xE70Bb6d55D0056EC540a0B58316E333511798661,1e-9,0,0,0,0,0,0,0,0,0,1e-9
0xd4550eB1EC7933EBe27E84F6b9214D5867d56624,88.13407607,98.086295828,0,0,0,0,0,0,0,0,186.220371898
0x133B18eB4Dd326eC88aea40e4De62B89dCD0EBCE,0,0.000036014,481.751959574,1.537095965,0,0,0,0,0,0,483.289091553
0x8A4F883Df0Ad28B277cC4C1477Abe8c3d328B1B3,800.292230157,0,0,34.089479424,0,0,0,0,0,0,834.381709581
